Id,SalePrice
1461,131112.3375
1462,156075.58333333334
1463,159355.46666666667
1464,181858.47916666666
1465,201502.38333333333
1466,189523.32083333333
1467,166067.425
1468,177607.75833333333
1469,192424.79166666666
1470,109158.5625
1471,197043.24166666667
1472,92620.775
1473,100765.85416666667
1474,147032.91666666666
1475,149408.66666666666
1476,392857.5125
1477,259887.25
1478,320906.25
1479,286999.62916666665
1480,446242.69583333336
1481,300953.32916666666
1482,215048.4
1483,178099.10416666666
1484,177392.2125
1485,175854.125
1486,199223.24583333332
1487,325802.925
1488,263956.51666666666
1489,198249.32916666666
1490,193176.02916666667
1491,195449.95833333334
1492,112039.26666666666
1493,177573.95833333334
1494,305056.29583333334
1495,291100.1666666667
1496,207853.52916666667
1497,184038.62083333332
1498,151178.67083333334
1499,152082.32083333333
1500,160122.52083333334
1501,170819.70833333334
1502,153638.575
1503,284894.49583333335
1504,226089.65833333333
1505,203993.625
1506,196797.57916666666
1507,225216.63333333333
1508,183373.76666666666
1509,162070.20833333334
1510,153494.62916666668
1511,150492.09583333333
1512,167437.5625
1513,158018.9375
1514,138563.23333333334
1515,171470.17083333334
1516,140436.04166666666
1517,150282.70833333334
1518,134301.22916666666
1519,213343.9375
1520,136599.725
1521,144384.4625
1522,162066.34166666667
1523,110659.05833333333
1524,130016.49166666667
1525,128842.70833333333
1526,127181.66666666667
1527,100240.37916666667
1528,128919.16666666667
1529,143484.62916666668
1530,168722.70833333334
1531,116604.625
1532,106244.93333333333
1533,150863.75
1534,128336.475
1535,143241.025
1536,125650.00416666667
1537,76310.95833333333
1538,187938.45833333334
1539,238651.9375
1540,128804.425
1541,140261.28333333333
1542,133031.16666666666
1543,204747.99583333332
1544,91900.09166666666
1545,110327.47916666667
1546,125187.7625
1547,131061.675
1548,133575.47083333333
1549,111518.39583333333
1550,132405.31666666668
1551,117150.43333333333
1552,128683.4625
1553,146161.61666666667
1554,119267.3625
1555,159432.11666666667
1556,104614.85
1557,125998.5125
1558,103312.62916666667
1559,107936.30416666667
1560,133594.59583333333
1561,134955.725
1562,127950.35
1563,115672.31666666667
1564,158621.27916666667
1565,146023.9625
1566,219842.45
1567,82401.50416666667
1568,197184.45833333334
1569,119271.325
1570,141323.6625
1571,116288.27916666666
1572,142607.36666666667
1573,234980.64583333334
1574,109971.1
1575,194895.15
1576,210530.44166666668
1577,200732.2
1578,140391.35833333334
